playlist_genre                                                                                                                                                                                                                                                   track_popularity danceability           energy                 loudness               acousticness           instrumentalness       liveness               valence                tempo                  duration_ms
pop                                                                                                                                                                                                                                                              66               0.748                  0.916                  -2.634                 0.102                  0                      0.0653                 0.518                  122.036                194754
pop                                                                                                                                                                                                                                                              67               0.726                  0.815                  -4.969                 0.0724                 0.00421                0.357                  0.693                  99.972                 162600
pop                                                                                                                                                                                                                                                              70               0.675                  0.931                  -3.432                 0.0794                 2.33E-05               0.11                   0.613                  124.008                176616
pop                                                                                                                                                                                                                                                              60               0.718                  0.93                   -3.778                 0.0287                 9.43E-06               0.204                  0.277                  121.956                169093
pop                                                                                                                                                                                                                                                              69               0.65                   0.833                  -4.672                 0.0803                 0                      0.0833                 0.725                  123.976                189052
pop                                                                                                                                                                                                                                                              67               0.675                  0.919                  -5.385                 0.0799                 0                      0.143                  0.585                  124.982                163049
pop                                                                                                                                                                                                                                                              62               0.449                  0.856                  -4.788                 0.187                  0                      0.176                  0.152                  112.648                187675
pop                                                                                                                                                                                                                                                              69               0.542                  0.903                  -2.419                 0.0335                 4.83E-06               0.111                  0.367                  127.936                207619
pop                                                                                                                                                                                                                                                              68               0.594                  0.935                  -3.562                 0.0249                 3.97E-06               0.637                  0.366                  127.015                193187
pop                                                                                                                                                                                                                                                              67               0.642                  0.818                  -4.552                 0.0567                 0                      0.0919                 0.59                   124.957                253040
pop                                                                                                                                                                                                                                                              58               0.679                  0.923                  -6.5                   0.146                  4.92E-06               0.124                  0.752                  121.984                207894
pop                                                                                                                                                                                                                                                              67               0.437                  0.774                  -4.918                 0.148                  0                      0.133                  0.329                  123.125                203733
pop                                                                                                                                                                                                                                                              67               0.744                  0.726                  -4.675                 0.0399                 0                      0.374                  0.687                  121.985                192507
pop                                                                                                                                                                                                                                                              68               0.572                  0.915                  -4.451                 0.0111                 0                      0.339                  0.678                  123.919                164516
pop                                                                                                                                                                                                                                                              63               0.69                   0.78                   -4.446                 0.00733                0.00183                0.0729                 0.238                  126.07                 255238
pop                                                                                                                                                                                                                                                              66               0.805                  0.835                  -4.603                 0.13                   5.03E-06               0.365                  0.722                  125.028                188230
pop                                                                                                                                                                                                                                                              60               0.694                  0.901                  -4.322                 0.0702                 0                      0.427                  0.368                  118.051                173548
pop                                                                                                                                                                                                                                                              65               0.678                  0.747                  -5.289                 0.0395                 0                      0.174                  0.516                  120.002                189375
pop                                                                                                                                                                                                                                                              69               0.746                  0.557                  -6.722                 0.103                  0.0036                 0.138                  0.324                  111.961                159404
pop                                                                                                                                                                                                                                                              35               0.467                  0.821                  -5.466                 0.00791                0.000441               0.131                  0.232                  122.676                185366
pop                                                                                                                                                                                                                                                              70               0.572                  0.934                  -5.053                 0.00292                0.0198                 0.105                  0.204                  125.948                215238
pop                                                                                                                                                                                                                                                              64               0.708                  0.913                  -4.329                 0.089                  0.081                  0.113                  0.707                  135.016                170667
pop                                                                                                                                                                                                                                                              62               0.684                  0.818                  -4.477                 0.0469                 3.39E-06               0.119                  0.336                  123.938                210968
pop                                                                                                                                                                                                                                                              70               0.732                  0.85                   -5.999                 0.114                  2.02E-06               0.0388                 0.372                  124.024                193548
pop                                                                                                                                                                                                                                                              58               0.62                   0.889                  -3.785                 0.0163                 1.86E-05               0.395                  0.422                  110.018                205093
